english,santhali_devanagari,source,verified
consequent,ओरजोयेम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conservation,रूखिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consideration zone,हें सारी टोठा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consignee,भेजा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consignment,भेजाकेत,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consignment note,भेजाकेत ् रे नाः हिसाब,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consistent,1. गाते 2. मितते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consolidated fund,1. सारे च ् टाका 2. बाञ्चाव टाका,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consolidated pay,सारे चकावडी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consolidated statement,सारे च बिखराण,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consolidation,1. चंकबंदी 2. केटे च ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conspicuous,सह ु ी पस ु ्त़ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conspiracy,1. षड्यंत 2. सापड़ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
constant,1. थोम 2. थामगाडी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
constituency,बाछनाव टोठा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
constituent,संघटक,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
constitution,संविधान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
constraint,1. बोड़हे 2. संरचना,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
construction,बेनाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consultant,सोलहे एमोगिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consultation,सोलहे,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consultative committee,सोलहे एमोः गाँवला,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consumable item,उपयोग सामान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consume,खोरोच,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consumer’s goods,खोरोचियावाः सामान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consumer forum/council,खोरोचियावाः आखड़ा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consumer orientation,खोरोचियावाः लापाई,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
consumption,1. खोपोत 2. खोरचा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contact,सम्पर्क,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contact programme,सम्पर्क कामीहोरा ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contagious disease,साहे त्ररे नाः आजार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contain,1. आकोट 2. टे काव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contemplate,मोनलागाव विचार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contemporary,निताः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contempt of court,नेयायालय रे ना बाङबाताव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contention,विवाद,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contents,विषय सूची,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contest,विवादिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
context,ओना बाबोत ते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contingencies,टाटका खोरोच,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contingency,बाड़तीयाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contingency allowance,बाड़तीयाः भात्ता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contingency fund,बाड़तीयाः कावटी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contingency grant,बाड़ती एमोगाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contingency plan,टाटका बाञ्चाव पान्था,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contingent charges,टाटका खोरोच,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
continuous appointment,लेताड़ बाहाली,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
continuous development,लेताड़ रानाकाप ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
continuous process,लेताड़ कामी ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
continuous service,लेताड़ चाकरी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contraband,घेराव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contract,1. ठे का 2. ठिका,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contract deed,ठे का डिड,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contract of employment,ठिका कामियाको ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contract period,1. ठिका ओकतो 2. ठिका समय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contractual document,ठिका कागोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contractual liability,ठिकाया दे वलिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contractual service,ठिका क़ामी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contradiction,एपेर हे डच े ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contradictory statement,एपेरहे डच े काथा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contrary,उल्टा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contravention,1. बाङबाताव 2. ताड़ाम पारोम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contribution,एनेम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contributory pension scheme,एनेम पेन्सन पान्था,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
contributory provident fund,एनेम प्रोमिडेट फाड,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
control,1. कोबोच ् 2. आकोट 3. कन्ट्रोल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
controlling officer,कोबोजिया साहे ब,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
controversial,बिबादिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
controversial matter,बिबादिया बिषय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
controversy,बिबाद,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
convenience,सुविधा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
convention,सेदाय रे वाज,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conventional,सेदायाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conversant,1. बापाडाय 2. बाडाया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
convert,1. बोनोदोल 2. बोदोल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
converted leave,बोनोदोल छुटी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conveyance,गाडी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conveyance allowance,गाडी भात्ता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conveyance deed,गाडी कागोच,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conveyance expenses,गाडी खोरोच,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
convict,दस ु ी ठावराव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
conviction,दस ु ी सायबोस्तो,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
convocation,सिदसाकाम सेनेले,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cooling off period,उपशमन अवधि,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cooperation,गोपोड़ो,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cooperative,गोपोड़ो,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cooperative society,गोपोड़ो सोसाइटी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
co-opt,गोड़ो एम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
co-opted member,गोड़ो एम रसिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
co-ordination,गोड़ो-तालमेल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
co-owner,गाड़ो-मालिक,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
co-partner,गोड़ो-भागियारी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
copy,1. नोकोल 2. कागोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
copying,नोकोलेत ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
copyright,आइदारी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cordial,नापायलेकाते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
coroner,गोयच बाबोतते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corporate body,निगमित निकाय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corporate planning,कम्पानी आयोजोना,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corporation,निगम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corporation tax,निगम कर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
correction,सुधार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
correspondence,चिठी ओल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
correspondence course,चिठी साकाम ते पांड़हा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
correspondence portion,चिठी साकाम हाटिञ,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
correspondent,1. सासापड़ाईच ् 2. खोबोर एमोगिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corresponding,ओनका लेकाते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corrigendum,भुल सुधार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corroborate,1. परु ाव 2. कामी परु ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corroboration,पुराव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corrupt,1. भ्रष ्‍‌ट 2. बाड़िच कामी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corruption,बाड़िच बेभार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
corrupt practice,बाड़िच चरित,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cosmopolitan city,जेगेत नागार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cost,लागात ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cost accountant,"लागात, लेखाकार",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cost analysis,लागात ् बिदडनाव ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cost ceiling,लागात सीमा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cost effectiveness,लागत रे नाः किफायत,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cost of living,लागात रे याः खोरोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cost overrun,लागात पारोमोः कान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cottage industry,बिरिद कामी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
council,1. परिषद 2. माडेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
council of ministers,1. मंत्रि माडेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
council of states,राज्यसभा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counsel,"कांउसेल, गोड़ो एम",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counselling,"गोड़ो एम,",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counter,काउं टर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counter action,जोबाबी कारबाई,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counter affidavit,जोवाबी हलफनामा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counter charge,आरोप,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counter claim,प्रति दावा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counterfeit currency,जाली टाका,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counterfeiting,जाल साज,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counterfoil,"हाँडिच, कागोच",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
counter offer,प्रति प्रस्ताब,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
countersign,काउनटार सही,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
coup (de etat),तख्ता पालटी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
coupon,कूपन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
courier,काथा इदियिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
courier service,काथा इदि कामी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
course,1. दिसा 2. पाड़हाव धारा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
courses of study,पाड़हाव धारा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
court case,कोट मामला,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
courtesy,नापाय बेबहार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
court of small causes,काच़ नेयाव रे नाः कोट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
covenant,एतोहोब आईन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cover,मोलाट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
coverage,पुरा एसेत,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
covering letter,"एसेत, चिठी",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
covering memo,"एसेत, मेमो,",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
covering note,टिपनी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
crash programme,लोगोन कामी होरा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
creamy layer,नावा उतन ्‌ ाव गाँवता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
creation,सिरजोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
creative,सिरजावाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
creativity,सिरजाव रे नाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
creche,गिदरा ओड़ाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
credentials committe,चिठी एपेम गाँवता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
credibility,पातियावानाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
credit,उधाऱ,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
creditable,सारहावाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
credit advice,सुझाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
credit and thrift society,बाँञ्चाव उघाऱ गाँवता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
credit card,क्रे डिड काड,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
credit facilities,उघ़ार सुविधा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
credit entry,जोमा एम ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
credit note,जोमा कागज,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
creditor,"ऋण हाताविच,",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cremation,होड़ रापाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cremation ground,माड़ घाटी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
crew,कामिया दल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
crime,काई़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
criminal breach of trust,काईयाना ़ पातयाव रापुद,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
criminal court,सासेत नाय ओड़ाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
criminal negligence,काईयाना ़ ओन हे ड़ा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
criminal offence,सासेताना काई़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
criminal procedure code,सासेत एम रे नाः आ़न,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
crisis,ओभाब,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
crisis management,ओभाब बेबस्था,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
criterion,"सासेत, एम",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
criticism,ओक्ता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cross,गेद काः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cross breed,मेसाल ईता ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cross checking,बानार पाह्‌टा ञेंल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
crossed cheque,1. क्रास चेक् 2. गार आकान चेक्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cross examination,जेरा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cross reference,आकिन बाबोत ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cross voting,पाहटाकिया मोत एम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
crucial date,ठावक़ा माहित ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
crude,बेरेल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
culpable homicide,बेवाड़िच होड़ गोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
culprit,दोसी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cultivation,चासी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cumulative,सारे जिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
currency,कावडी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
currency exchange,कावडी बोनोदोल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
currency note,कावडी नोट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
current,निताः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
current account,चालु खाता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
current duties,निताः कामी भार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
current session,चालाः कान सत्र,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
curriculum vitae (cv),जोयोन चाका,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
curtail,काच ् काः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
custodian,जोगाव दोहोयिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
custody,डोँडेक दोहो,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
custom,सेदाय आरी-चाली,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
custom(s),सीमा शल ु ्क,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
customary,सेदाय काथाऐ पातयाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
customary procedure,सेदाय लेका कामी होरा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
custom duty,सीमा रे कामी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
customer,1. ग्राहक 2. गोहराक्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
customer friendly,गोहराक् गापाते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
custom examination,सीमा कामी रे नाः बिनिड,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cut down,1. कोमकाः 2. घाडिच ् काः 3. ओहराव काः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cut motion,कोम काः प्रस्ताब,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cut off date,"निट आकान माहित, ठावका आकान माहित",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
cycle,चाका,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
daily,दिनाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
daily allowance,दिनाम भात्ता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
daily diary,दिनाम डायरी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
daily register,दिनाम रे जिस्टार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
daily report,दिनाम रिपोट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
daily routine,दिनाम कामी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
daily wages,1. दिनाम कामिया 2. दिनाम कुड़ाई,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dak stage,डाक ठाँव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dak tray,डाक ट्रे,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
damage,1. रापुत 2. लोसकान 3. बेरबाद,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
damages,लोसकानाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dangerous,बोतोरानिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
daring,साहोसी 2. दिलकारिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
data,आँकड़ा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
data bank,आँकड़ा काबडी मरु ाई,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
data base,आँकड़ा सारे च ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
data collection,आँकड़ा तुमाल़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
data feeding,आँकड़ा पेरेच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
data processing,आँकड़ा प्रसेस,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
date,माहित ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
date of arrival,"हिजुः कान माहित,",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
date of birth,जानाम माहित ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
date of departure,चालाः माहित ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
date of discharge,कामी छुटी माहित,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
date of maturity,पुराः माहित ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
date of receipt,हाताव माहित,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
date stamp,1. तारिख मोहोर 2. दिनाम रे नाः लेखा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
day scholar,दिऩाम पाठुवा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
day shift,दिनाम पारी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
days of grace,छाड़ दिन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
day to day work,दिनाम दिन रे नाः कामी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dead account,मच ु ात ् आकान खाता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dead line,मुचात आकान सिमा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
deadlock,आकोट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dead stock register,मारे सामान रे नाः खाता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dead weight,गुट हामाल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
deal,सावदा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dealing assistant,ओओल ् गोड़ोयिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dealing,एपेम-चापाल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
death anniversary,गज ु ःु माहित ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dearness allowance,माहगा भातता,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
death benefit,गुजुः रे नाः लाब,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
death in service,कामी तल ु च ु गोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
deauthorizatioin,प्राधिकार निरसन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
debar,डेबार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
debit,डेबिट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
debit advice,डेबिट रे नाः सझ ु ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
debt,ऋण,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
debt management,ऋण कामिया को,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
debtor,ऋण हातायिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
deceased,गोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decency,नापाय बेबहार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decentralization,बिकेन्द्रीकरण,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
deciding factor,ठावका आकान लागात ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decision,गोटे ल ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decision making,गोटे ल ् बेनाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decision making process,गोटे ल बेनाव रे नाः कामी होरा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
declaration,उछाऩ,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
declaration of income,आय रे नाः उछाऩ,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
declared value,उछानाकान ़ गोनोङ,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
declare on oath,किरिया चेतान उछ़ान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decode,बाड़िच रोड़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decontrol,बे आकोट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decorum,नापाय बेबहार 2. नापाय माऩ,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decrease,कोमोः कान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
decree,डिगरी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
dedication,आल़ाय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
deductible,सारे च ् लेकानाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
deduction,सारे च ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
deduction at source,आय रे नाः सारे च ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
