english,santhali_devanagari,source,verified
acknowledgement due,1. ञाम रुवाड़ साकाम 2. रसिद,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
acquaintance,उपुरुम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
acquisition,1. आरजाव 2. हाताव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
acquittance,1. एमपरु ाव 2. पेरेच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
act,1. आ़न 2. कामी ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
acting allowance,कामी ़ रे नाः कुड़ाई,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
action,कामी ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
action plan,कामी ़ पान्था,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
active,चेटकार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
actively,आड़ी चेटकार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
activist,कामी ़ दाड़ेयान ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
act of misconduct,बाडिच ़ ् कामीयान ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
acts of commission and,कामीभ ़ ूल विसोर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
actual,सारिते ़ त,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
actuals,सारी़ उतारतेत,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adaptation,1. आरुफेएव 2. उचाड़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
addition,जोड़ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
additional charge,बाड़ती भार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
additional fund,बाड़ती कावडि ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
additional grant,बाड़ति गोड़ोटाका,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
additional information,बाड़ती बाडाय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
additional pay,1. बाड़ति कुड़ाई 2. बाड़ती दोरमाहा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
addition and alteration,"बाड़ति जोनोड़, बाड़ति बाड़हाव",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
address,1. ठिकाना ़ 2. रोरोड़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
addressee,1. ञामिच ् 2. बेवरा ञामिच ् 3. बेवरा भेजायिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
address of welcome,आताङ दाराम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adequate,आडिगान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adhere to,रिहिट तोंहें न,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ad hoc,कामीहाताड़ ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ad hoc claim,कामीहाताड़ ़ दाबी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ad hoc committee,कामीहाताड़ ़ कुमट ु,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ad hoc increase,कामीहाताड़ ़ बाड़हाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ad hoc payment,कामीहाताड़ ़ कुड़ाई,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adjacent,लागाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adjournment,आकोट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adjournment motion,कामी ़ आकोट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adjudge,नेयाय ठावका ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adjudicate,नेयाय ठावका ़ परु ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adjudication,1. नेयाय निरनोय 2. नेयाय मिंमासा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adjudicator,नेयाय मिमांसायिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
adjustment,मेसा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administer,सासोनिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administer oath,सासोन किरया हाताव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administration,सासोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administration of justice,नेयाय सासोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative,सासोनिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative action,सासोनिया कामी ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative appraisal,सासोनिया तुलापाईला ़ ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative approval,सासोनिया कामी ़ ठावका ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative authority,सासोनिया आइदारियायिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative control,सासोनिया कोबोच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
administrative decision,सासोनिया गोटा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
